дата,направление,выход
30.12.2021,ш,"78,95"
29.12.2021,ш,"79,3"
28.12.2021,ш,"79,21"
27.12.2021,ш,"79,06"
24.12.2021,л,"78,69"
23.12.2021,ш,"75,75"
22.12.2021,ш,"76,9"
21.12.2021,ш,"75,45"
20.12.2021,ш,"74,16"
17.12.2021,ш,"71,86"
16.12.2021,ш,"73,43"
15.12.2021,л,"74,81"
14.12.2021,л,"74,43"
13.12.2021,ш,"73,48"
10.12.2021,ш,"74,55"
09.12.2021,л,"75,43"
08.12.2021,ш,"74,13"
07.12.2021,ш,"76,01"
06.12.2021,ш,"75,14"
03.12.2021,ш,"73,42"
02.12.2021,л,"69,77"
01.12.2021,ш,"70,29"
30.11.2021,л,"68,75"
29.11.2021,ш,"70,56"
26.11.2021,ш,"73,06"
25.11.2021,ш,"72,36"
24.11.2021,л,"82,25"
23.11.2021,ш,"82,14"
22.11.2021,ш,"82,58"
19.11.2021,л,"79,43"
18.11.2021,ш,"78,51"
17.11.2021,л,"81,19"
16.11.2021,ш,"80,57"
15.11.2021,л,"82,52"
12.11.2021,ш,"82,05"
11.11.2021,л,"82,1"
10.11.2021,л,"82,62"
09.11.2021,ш,"82,61"
08.11.2021,л,"84,89"
05.11.2021,л,"83,68"
03.11.2021,л,"82,66"
02.11.2021,ш,"81,29"
01.11.2021,л,"84,23"
29.10.2021,ш,"84,59"
28.10.2021,ш,"84,41"
27.10.2021,ш,"84,54"
26.10.2021,ш,"84,13"
25.10.2021,л,"86,22"
22.10.2021,ш,"85,94"
21.10.2021,ш,"85,87"
20.10.2021,ш,"84,73"
19.10.2021,ш,"85,84"
18.10.2021,л,"85,1"
15.10.2021,ш,"84,09"
14.10.2021,л,"84,89"
13.10.2021,л,"84,28"
12.10.2021,л,"83,34"
11.10.2021,л,"83,32"
08.10.2021,л,"83,62"
07.10.2021,ш,"82,54"
06.10.2021,ш,"82,44"
05.10.2021,л,"80,86"
04.10.2021,ш,"82,66"
01.10.2021,ш,"81,31"
30.09.2021,л,"79,2"
29.09.2021,ш,"78,53"
28.09.2021,ш,"78,36"
27.09.2021,л,"78,86"
24.09.2021,л,"79,83"
23.09.2021,л,"78,08"
22.09.2021,л,"77,25"
21.09.2021,л,"75,93"
20.09.2021,л,"74,68"
17.09.2021,ш,"74,4"
16.09.2021,ш,"75,26"
15.09.2021,л,"75,66"
14.09.2021,ш,"75,62"
13.09.2021,л,"73,85"
10.09.2021,л,"73,72"
09.09.2021,ш,"72,82"
08.09.2021,ш,"71,26"
07.09.2021,л,"72,73"
06.09.2021,ш,"71,67"
03.09.2021,ш,"72,18"
02.09.2021,ш,"72,64"
01.09.2021,ш,"72,83"
31.08.2021,л,"71,34"
30.08.2021,л,"72,96"
27.08.2021,л,"73,33"
26.08.2021,л,"72,61"
25.08.2021,л,"71,44"
24.08.2021,ш,"72,04"
23.08.2021,л,"71,19"
20.08.2021,л,"68,59"
19.08.2021,ш,"65,1"
18.08.2021,ш,"66,54"
17.08.2021,л,"67,45"
16.08.2021,л,"69,04"
13.08.2021,ш,"69,7"
12.08.2021,л,"70,19"
11.08.2021,ш,"71,2"
10.08.2021,ш,"71,61"
09.08.2021,ш,"70,86"
06.08.2021,ш,"69,3"
05.08.2021,ш,"70,45"
04.08.2021,ш,"71,32"
03.08.2021,ш,"70,26"
02.08.2021,л,"72,38"
30.07.2021,ш,"73,13"
29.07.2021,л,"76,31"
28.07.2021,л,"75,9"
27.07.2021,ш,"74,71"
26.07.2021,л,"74,7"
23.07.2021,ш,"74,76"
22.07.2021,л,"74,16"
21.07.2021,л,"73,63"
20.07.2021,л,"72,25"
19.07.2021,л,"69,06"
16.07.2021,ш,"68,69"
15.07.2021,л,"73,21"
14.07.2021,л,"73,31"
13.07.2021,л,"74,63"
12.07.2021,л,"76,39"
09.07.2021,л,"75,26"
08.07.2021,ш,"75,67"
07.07.2021,л,"74,34"
06.07.2021,ш,"73,37"
05.07.2021,л,"74,84"
02.07.2021,л,"77,13"
01.07.2021,л,"76,15"
30.06.2021,л,"75,58"
29.06.2021,ш,"75,13"
28.06.2021,л,"75,07"
25.06.2021,ш,"74,63"
24.06.2021,л,"76,13"
23.06.2021,л,"75,61"
22.06.2021,ш,"75,39"
21.06.2021,л,"75,1"
18.06.2021,л,"74,92"
17.06.2021,л,"73,29"
16.06.2021,ш,"72,99"
15.06.2021,ш,"74,04"
14.06.2021,л,"74,31"
11.06.2021,л,"73,11"
10.06.2021,л,"72,63"
09.06.2021,л,"72,38"
08.06.2021,ш,"72,08"
07.06.2021,ш,"72,23"
04.06.2021,ш,"71,53"
03.06.2021,ш,"71,67"
02.06.2021,л,"71,42"
01.06.2021,л,"71,3"
31.05.2021,л,"70,58"
28.05.2021,л,"69,63"
27.05.2021,ш,"69,7"
26.05.2021,л,"69,44"
25.05.2021,ш,"68,77"
24.05.2021,л,"68,57"
21.05.2021,л,"68,49"
20.05.2021,л,"66,72"
19.05.2021,ш,"64,9"
18.05.2021,л,"66,65"
17.05.2021,л,"68,56"
14.05.2021,л,"69,59"
13.05.2021,л,"68,81"
12.05.2021,ш,"67,01"
11.05.2021,л,"69,07"
10.05.2021,л,"68,59"
07.05.2021,л,"68,29"
06.05.2021,л,"68,27"
05.05.2021,л,"68,33"
04.05.2021,л,"68,73"
30.04.2021,л,"68,95"
29.04.2021,ш,"67,29"
28.04.2021,ш,"68,52"
27.04.2021,ш,"67,03"
26.04.2021,л,"66,58"
23.04.2021,ш,"65,72"
22.04.2021,л,"66,08"
21.04.2021,л,"65,61"
20.04.2021,л,"65,07"
19.04.2021,ш,"66,33"
16.04.2021,ш,"67,16"
15.04.2021,ш,"66,73"
14.04.2021,ш,"66,86"
13.04.2021,л,"66,36"
12.04.2021,л,"63,93"
09.04.2021,ш,"63,38"
08.04.2021,ш,"63,09"
07.04.2021,л,"63,39"
06.04.2021,л,"63,14"
05.04.2021,л,"62,76"
02.04.2021,ш,"62,29"
01.04.2021,л,"64,83"
